ID,CRM_ID,NAME,GENDER,EMAIL_ADDRESS,PHONE_NUMBER,SOCIAL_SECURITY_NUMBER,STREET_ADDRESS,CITY,STATE,STATE_CODE,ZIP_CODE,EDUCATION,EMPLOYMENT_STATUS,MARITAL_STATUS,RESIDENCE,YRS_AT_CURRENT_ADDRESS,YRS_WITH_CURRENT_EMPLOYER,INCOME,NUMBER_OF_CARDS,CREDITCARD_DEBT,LOANS,CREDIT_SCORE
200001,C005001,Elinor Hessel,Female,elinor.hessel0001@example.com,310-555-1001,999-11-1001,9978 Sunset Avenue,Beaumont,California,CA,92223,High School or Below,Unemployed,Single,Private Renting,3,18,45290.52,1,1321.13,0,776
200002,C005002,Milo Smitham,Male,milo.smitham0002@syntheticmail.test,619-555-1002,999-12-1002,7433 Lincoln Road,Long Beach,California,CA,90815,College,Employed,Married,Public Housing,23,1,53872.58,1,0.0,0,724
200003,C005003,Delores Keling,Female,delores.keling0003@example.com,510-555-1003,999-13-1003,5656 Hillcrest Street,Newport,California,CA,92657,College,Medical Leave,Single,Public Housing,14,14,40954.07,2,5237.48,1,483
200004,C005004,Gino Inge,Male,gino.inge0004@example.com,310-555-1004,999-14-1004,127 River Boulevard,Truckee,California,CA,41110,College,Unemployed,Single,Living with parents/guardian,13,12,49702.99,2,1045.48,1,666
200005,C005005,Caritta Farrell,Male,caritta.farrell0005@syntheticmail.test,202-555-1005,999-15-1005,4744 Maple Boulevard,Dana Point,California,CA,42049,High School or Below,Unemployed,Married,Private Renting,13,12,48433.33,1,1032.34,1,623
200006,C005006,Nathaniel Marks,Male,nathaniel.marks0006@mortgage-demo.local,213-555-1006,999-16-1006,3631 Lincoln Road,Orinda,California,CA,45597,Bachelor,Employed,Single,Living with parents/guardian,14,14,49030.02,3,1077.06,0,758
200007,C005007,Brynne Cronin,Male,brynne.cronin0007@example.com,949-555-1007,999-17-1007,2903 River Way,West Hills,California,CA,91307,High School or Below,Unemployed,Single,Owner Occupier,14,26,44395.5,1,4153.5,0,626
200008,C005008,Delfina Offer,Male,delfina.offer0008@mortgage-demo.local,619-555-1008,999-18-1008,4501 Pine Avenue,Santa Rosa,California,CA,95401,College,Unemployed,Married,Owner Occupier,18,26,45559.38,2,684.62,1,561
200009,C005009,Justyn Bernhard,Female,justyn.bernhard0009@example.com,619-555-1009,999-19-1009,7369 Pine Lane,Vacaville,California,CA,48647,College,Unemployed,Single,Owner Occupier,7,15,48388.95,3,1421.15,2,684
200010,C005010,Winona Marvel,Male,winona.marvel0010@syntheticmail.test,619-555-1010,999-20-1010,8587 Vista Road,Studio City,California,CA,49849,Doctor,Employed,Single,Living with parents/guardian,13,13,50099.58,2,1632.61,0,687
